passage,passage_description,pov,tags
1,Romeo and/or Juliet intro,Reader,
2,Non-linear reminder,Reader,
3,Spoilers!,Reader,
4,Blast some weights before the party,Juliet,
5,Drink a protein shake,Juliet,
6,Do chores,Juliet,
7,Open tricky jars,Juliet,
8,Mom starts conversation,Juliet,
9,Nurse gives background,Juliet,
10,Mom wants you to get married,Juliet,
11,Tom Paris is perfect,Juliet,
12,Tom Paris has a hot bod,Juliet,
13,Get ready to start the party,Juliet,
14,Confess your problem with love,Romeo,
15,William Shakespeare Bio,Reader,
16,"Kill Capulets, but maybe marry them",Romeo,
17,Talk about vest later at restaurant,Romeo,
18,Poetical descriptions of Rosaline,Romeo,
19,Feelings and a note,Romeo,
20,Talk love w/ Breakfast on the brain,Romeo,
21,Garbage too small,Romeo,
22,Ryan North Bio,Reader,
23,Plan to manipulate families to peace,Romeo,
24,Visit your friend Friar Lawrence,Romeo,
25,Run away from home,Juliet,
26,Detailed plan on marrying Capulets,Romeo,
27,Romeo's sad about Roseline,Romeo,
28,Noticed blood on Benvolio's face,Romeo,
29,Chaste Rosaline,Romeo,
30,Sneak into Capulet Castle,Romeo,
31,Heimlich and ghost babes,Romeo,ending; romeo dies; choking on food
32,Mechanical breakfast processes,Romeo,
33,Run back home the long way,Juliet,
34,"Skip party, get breakfast",Romeo,
35,Drink all the Fake Death Juice,Romeo,
36,Choose character,Reader,
37,Lie to Peter about reading,Romeo,
38,Full breakfast and beach justice,Romeo,
39,Decide to move on from Rosaline,Romeo,
40,Painfully aware of bodily functions,Romeo,
41,RPS win & rematch,Romeo,
42,Looking good as a maid,Romeo,
43,Kill the afternoon reading,Romeo,
44,Defiant against mother,Juliet,
45,Late breakfast and a plan,Romeo,
46,A beer at the bar,Juliet,
47,A couple days pass,Romeo,
48,Discuss love and bitten thumbs,Romeo,
49,Move on from childish crushes,Romeo,ending; marry someone; have kids
50,Read Capulet's party invite,Romeo,
51,Outside the party,Romeo,
52,Real talk with Benvolio,Romeo,
53,First impressions w/ the Capulets,Romeo,
54,Hopes & Dreams of Mrs. Motague & Capulet,Romeo,
55,Terrible disguise,Romeo,ending; Romeo dies; via Capulet murder
56,Clean wrong room,Romeo,
57,Look at guys at bar,Juliet,
58,Horse meet unicorn,Juliet,
59,One day later,Romeo,
60,Benvolio cheats to beat paper,Romeo,
61,Party w/ a unicorn mask,Romeo,
62,Too much fake death juice,Romeo,ending; romeo dies; too much fake death poition; 0 of 5000 points
63,Jake Wheeze monolog,Juliet,
64,Draw. Also rock.,Romeo,
65,Clean empty room,Romeo,
66,Thirsty buzzed jog home,Juliet,
67,Benvolio cheats to beat scissors,Romeo,
