passage	passage_description	pov	is_ending	tags
1	Romeo and/or Juliet intro	Reader	N	
2	Non-linear reminder	Reader	N	
3	Spoilers!	Reader	N	
4	Blast some weights before the party	Juliet	N	
5	Drink a protein shake	Juliet	N	
6	Do chores	Juliet	N	
7	Open tricky jars	Juliet	N	
8	Mom starts conversation	Juliet	N	
9	Nurse gives background	Juliet	N	
10	Mom wants you to get married	Juliet	N	
11	Tom Paris is perfect	Juliet	N	
12	Tom Paris has a hot bod	Juliet	N	
13	Get ready to start the party	Juliet	N	
14	Confess your problem with love	Romeo	N	
15	William Shakespeare Bio	Reader	N	
16	Kill Capulets, but maybe marry them	Romeo	N	
17	Talk about vest later at restaurant	Romeo	N	
18	Poetical descriptions of Rosaline	Romeo	N	
19	Feelings and a note	Romeo	N	
20	Talk love w/ Breakfast on the brain	Romeo	N	
21	Garbage too small	Romeo	N	
22	Ryan North Bio	Reader	N	
23	Plan to manipulate families to peace	Romeo	N	
24	Visit your friend Friar Lawrence	Romeo	N	
25	Run away from home	Juliet	N	
26	Detailed plan on marrying Capulets	Romeo	N	
27	Romeo's sad about Roseline	Romeo	N	
28	Noticed blood on Benvolio's face	Romeo	N	
29	Chaste Rosaline	Romeo	N	
30	Sneak into Capulet Castle	Romeo	N	
31	Heimlich and ghost babes	Romeo	Y	ending; romeo dies; choking on food
32	Mechanical breakfast processes	Romeo	N	
33	Run back home the long way	Juliet	N	
34	Skip party, get breakfast	Romeo	N	
35	Drink all the Fake Death Juice	Romeo	N	
36	Choose character	Reader	N	
37	Lie to Peter about reading	Romeo	N	
38	Full breakfast and beach justice	Romeo	N	
39	Decide to move on from Rosaline	Romeo	N	
40	Painfully aware of bodily functions	Romeo	N	
41	RPS win & rematch	Romeo	N	
42	Looking good as a maid	Romeo	N	
43	Kill the afternoon reading	Romeo	N	
44	Defiant against mother	Juliet	N	
45	Late breakfast and a plan	Romeo	N	
46	A beer at the bar	Juliet	N	
47	A couple days pass	Romeo	N	
48	Discuss love and bitten thumbs	Romeo	N	
49	Move on from childish crushes	Romeo	Y	ending; marry someone; have kids
50	Read Capulet's party invite	Romeo	N	
51	Outside the party	Romeo	N	
52	Real talk with Benvolio	Romeo	N	
53	First impressions w/ the Capulets	Romeo	N	
54	Hopes & Dreams of Mrs. Motague & Capulet	Romeo	N	
55	Terrible disguise	Romeo	Y	ending; Romeo dies; via Capulet murder
56	Clean wrong room	Romeo	N	
57	Look at guys at bar	Juliet	N	
58	Horse meet unicorn	Juliet	N	
59	One day later	Romeo	N	
60	Benvolio cheats to beat paper	Romeo	N	
61	Party w/ a unicorn mask	Romeo	N	
62	Too much fake death juice	Romeo	Y	ending; romeo dies; too much fake death poition; 0 of 5000 points
63	Jake Wheeze monolog	Juliet	N	
64	Draw. Also rock.	Romeo	N	
65	Clean empty room	Romeo	N	
66	Thirsty buzzed jog home	Juliet	N	
67	Benvolio cheats to beat scissors	Romeo	N	
68	Flirting with Unicorn	Juliet	N	
69	Ate breakfast & got married	Romeo	Y	ending; marry Juliet; end conflict
70	Kick parents out	Juliet	Y	ending; date Romeo; marry Cesario; 32,767 points; point overflow
71	Enjoying cleaning the depths	Romeo	N	
72	Also rock	Romeo	N	
73	Before party summary	Romeo	N	
74	Flirting from Juliet to Romeo	Romeo	N	
75	Get drunk	Juliet	N	
76	Tom proposal	Juliet	N	
77	Take off mask and flirt	Juliet	N	
78	Get sick at party	Juliet	N	
79	Benvolio cheats to beat rock	Romeo	N	
80	Open bar	Romeo	N	
81	No swords, but a joust in the woods	Romeo	Y	ending; Romeo dies; Benvolio dies; sturdy branch joust to the eye
82	Parties till marriage or death	Juliet	N	
83	RPS loss	Romeo	N	
84	Fun buzzed jog home	Juliet	N	
85	New love & Overbearing parents	Romeo	Y	ending; Romeo dies; Amelia dies; marry Amelia Ameliason; even though you're dead
86	Solve problems with puke	Juliet	Y	ending; marry Orlando; wrestle a lion; "holy crap that's awesome" out of 1,000
87	Downward spiral of public nudity	Romeo	Y	ending; Romeo dies; jailed; old age, spooky skeleton
88	Palmers retort	Juliet	N	
89	Meet Juliet while cleaning	Romeo	N	
90	Author's relief	Romeo	N	
91	Benvolio fist tornado	Romeo	Y	ending; Romeo dies; eternal fist tornado
92	Life with Yolo	Juliet	Y	ending; marry no one; still happy; be a pirate
93	Nonstop voms	Juliet	N	
94	Headbut, Tom Paris intro	Juliet	N	
95	Life as a maid	Romeo	Y	ending; Romeo dies; enjoys being a cleaning ninja forever
96	Take off masks	Romeo	N	
97	Lips for prayer	Juliet	N	
98	Reject Tom Paris	Juliet	N	
99	Predict bad fate	Romeo	N	
100	See Rosaline (not Rosaline)	Romeo	N	
101	Clean a bunch on your way	Romeo	N	
102	RPS avenger: duel to the death	Romeo	N	
103	Throw up at the party	Romeo	Y	ending; social pariah; move to Denmark; Romeo dies; Ophilia's ninja skills
